ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): OREGON

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,School Level [Public School] 2016-17,School Level [Public School] 2015-16,School Level [Public School] 2014-15
A C HOUGHTON ELEMENTARY SCHOOL,Oregon,410852000858,1-Primary,1-Primary,1-Primary
ABERNETHY ELEMENTARY SCHOOL,Oregon,411004000865,1-Primary,1-Primary,1-Primary
ABRAHAM LINCOLN ELEMENTARY,Oregon,410804000963,1-Primary,1-Primary,1-Primary
ACADEMY FOR CHARACTER EDUCATION,Oregon,411158001727,4-Other,4-Other,4-Other
ACADEMY OF ARTS AND ACADEMICS,Oregon,411167001641,3-High,3-High,3-High
ACADEMY OF INTERNATIONAL STUDIES (AT WOODBURN),Oregon,411353001714,3-High,3-High,3-High
ACE ACADEMY,Oregon,411052001763,†,3-High,3-High
ADAMS ELEMENTARY SCHOOL,Oregon,410348000032,1-Primary,1-Primary,1-Primary
ADAMS ELEMENTARY SCHOOL,Oregon,410474000530,1-Primary,1-Primary,1-Primary
ADEL ELEMENTARY SCHOOL,Oregon,410099000524,1-Primary,2-Middle,2-Middle
ADRIAN ELEMENTARY SCHOOL,Oregon,410102000755,1-Primary,1-Primary,1-Primary
ADRIAN HIGH SCHOOL,Oregon,410102000756,3-High,3-High,3-High
AGNES STEWART MIDDLE SCHOOL,Oregon,411167000977,2-Middle,2-Middle,2-Middle
AIKEN ELEMENTARY SCHOOL,Oregon,410927000741,1-Primary,1-Primary,1-Primary
AINSWORTH ELEMENTARY SCHOOL,Oregon,411004000866,1-Primary,1-Primary,1-Primary
AL KENNEDY HIGH SCHOOL,Oregon,411158001390,3-High,3-High,3-High
ALAMEDA ELEMENTARY SCHOOL,Oregon,410927000739,1-Primary,1-Primary,1-Primary
ALAMEDA ELEMENTARY SCHOOL,Oregon,411004000867,1-Primary,1-Primary,1-Primary
ALBANY OPTIONS SCHOOL,Oregon,410112001577,3-High,3-High,3-High
ALBERTA RIDER ELEMENTARY SCHOOL,Oregon,411224001668,1-Primary,1-Primary,1-Primary
ALDER CREEK MIDDLE SCHOOL,Oregon,410883004189,2-Middle,2-Middle,2-Middle
ALDER ELEMENTARY SCHOOL,Oregon,411052000997,1-Primary,1-Primary,1-Primary
ALICE OTT MIDDLE SCHOOL,Oregon,410394001028,2-Middle,2-Middle,2-Middle
ALLEN DALE ELEMENTARY SCHOOL,Oregon,410591000457,1-Primary,1-Primary,1-Primary
ALLIANCE CHARTER ACADEMY,Oregon,410933001725,4-Other,4-Other,4-Other
ALLIANCE HIGH SCHOOL,Oregon,411004001652,3-High,3-High,3-High
ALOHA HIGH SCHOOL,Oregon,410192001239,3-High,3-High,3-High
ALOHA-HUBER PARK SCHOOL,Oregon,410192001204,1-Primary,1-Primary,1-Primary
ALPHA HIGH SCHOOL,Oregon,418018001318,†,†,3-High
ALPHA HIGH SCHOOL,OREGON,418018011318,†,†,†
ALSEA CHARTER SCHOOL,Oregon,410120000019,3-High,3-High,3-High
ALSEA ELEMENTARY SCHOOL,Oregon,410120001502,1-Primary,1-Primary,1-Primary
AMITY CREEK ELEMENTARY SCHOOL,Oregon,410198000607,1-Primary,1-Primary,1-Primary
AMITY ELEMENTARY SCHOOL,Oregon,410123001260,1-Primary,1-Primary,1-Primary
AMITY HIGH SCHOOL,Oregon,410123001263,3-High,3-High,3-High
AMITY MIDDLE SCHOOL,Oregon,410123001320,2-Middle,2-Middle,2-Middle
ANNEX CHARTER SCHOOL,Oregon,410135000753,1-Primary,1-Primary,1-Primary
ANTONIA CRATER ELEMENTARY SCHOOL,Oregon,410872001291,1-Primary,1-Primary,1-Primary
APPLEGATE ELEMENTARY SCHOOL,Oregon,410690000422,1-Primary,1-Primary,1-Primary
APPLEGATE ELEMENTARY SCHOOL,Oregon,410378000624,1-Primary,1-Primary,1-Primary
ARCHER GLEN ELEMENTARY SCHOOL,Oregon,411129000679,1-Primary,1-Primary,1-Primary
ARCO IRIS SPANISH IMMERSION SCHOOL,Oregon,410192001791,1-Primary,1-Primary,1-Primary
ARDENWALD ELEMENTARY SCHOOL,Oregon,410883000070,1-Primary,1-Primary,1-Primary
ARLETA ELEMENTARY SCHOOL,Oregon,411004000869,1-Primary,1-Primary,1-Primary
ARLINGTON COMMUNITY CHARTER SCHOOL,Oregon,410147000343,4-Other,4-Other,4-Other
ARMADILLO TECHNICAL INSTITUTE,Oregon,410963001489,4-Other,4-Other,4-Other
ARMAND LARIVE MIDDLE SCHOOL,Oregon,410630001096,2-Middle,2-Middle,2-Middle
ARTHUR ACADEMY,Oregon,410394004181,1-Primary,1-Primary,1-Primary
ARTS AND COMMUNICATION MAGNET ACADEMY,Oregon,410192000213,4-Other,4-Other,4-Other
ARTS AND TECHNOLOGY ACADEMY AT JEFFERSON,Oregon,410474001737,2-Middle,2-Middle,2-Middle
