county,business_name,type_of_care,licensure,quality_rating,area_code,phone,city,lattitude,longitude
baker,(ECC) Grandma's Gang Childcare,(CCC) Emergency Care,Licensed - Registered Family,3 Star Program,541,519-0211,Baker City,44.788177000000005,-117.84621900000002
baker,(ECC) Melody's Playce,(CCC) Emergency Care,Licensed - Certified Family,C2Q,541,523-6721,Baker City,44.79541000000001,-117.819175
baker,Woodland Critters,Family Child Care,Licensed - Registered Family,C2Q,541,403-0427,Baker City,44.782692000000004,-117.829365
baker,(ECC) Teri's Daycare,Family Child Care,Licensed - Registered Family,C2Q,541,856-3793,Haines,44.917398999999996,-117.94022700000002
baker,Ashley's Playcare,Family Child Care,Unlicensed - Exempt,NA,541,519-2589,Baker City,44.777616,-117.825593
baker,Baker School District 5J,(CCC) Emergency Care,Unlicensed - School Partners,NA,541,524-2260,Baker City,44.777327,-117.821238
baker,April's Daycare,Family Child Care,Licensed - Registered Family,NA,541,523-6590,Baker City,44.777654,-117.81846900000001
baker,Connor's Daycare,(CCC) Emergency Care,Licensed - Registered Family,NA,541,403-1015,Baker City,44.789634,-117.819237
baker,Kids' Club - First Lutheran Church,School Age Program,Unlicensed - Exempt,NA,541,523-7225,Baker City,44.775034000000005,-117.832927
baker,(ecc),(CCC) Emergency Care,Licensed - Registered Family,NA,541,519-6629,Baker City,44.783276,-117.83709300000001
baker,(ECC) Michele's Day Care,(CCC) Emergency Care,Licensed - Registered Family,NA,541,519-4964,Baker City,44.777917,-117.81569300000001
baker,(ECC) Cozy Lamb Daycare,Family Child Care,Unlicensed - Exempt,NA,541,519-8880,Baker City,44.776413000000005,-117.83816
baker,Cassie's House Day Care,Family Child Care,Unlicensed - Exempt,NA,406,366-9328,Baker City,44.774246,-117.821591
benton,Kidco Head Start Philomath Center,Preschool Program,Licensed - Certified Center,5 Star Program,541,451-1581,Philomath,44.54106099999999,-123.369982
benton,Kidco Early Head Start Corvallis Program,Child Care Center,Licensed - Certified Center,5 Star Program,541,451-1581,Corvallis,44.549162,-123.301607
benton,Trees of the Field Certified Family Childcare,Family Child Care,Licensed - Certified Family,5 Star Program,541,754-8374,Corvallis,44.548294,-123.287948
